Species	Ks
AP13K_AP13N	0.465296
AP13K_AP13N	0.463472
AP13K_AP13N	0.125
AP13K_AP13N	0.461176
AP13K_AP13N	0.220174
AP13K_AP13N	0.22935
AP13K_AP13N	0.288747
AP13K_AP13N	0.870892
AP13K_AP13N	0.147143
AP13K_AP13N	0.565457
AP13K_AP13N	0.146939
AP13K_AP13N	0.267894
AP13K_AP13N	0.0529716
AP13K_AP13N	0.293381
AP13K_AP13N	0.0765896
AP13K_AP13N	0.245842
AP13K_AP13N	0.273261
AP13K_AP13N	0.349939
AP13K_AP13N	0.460614
AP13K_AP13N	0.179089
AP13K_AP13N	0.38645
AP13K_AP13N	0.0598639
AP13K_AP13N	0.238911
AP13K_AP13N	0.1562
AP13K_AP13N	0.300156
AP13K_AP13N	0.305913
AP13K_AP13N	0.431169
AP13K_AP13N	0.379056
AP13K_AP13N	0.300648
AP13K_AP13N	0.22327
AP13K_AP13N	0.188387
AP13K_AP13N	0.107405
AP13K_AP13N	0.258312
AP13K_AP13N	0.285132
AP13K_AP13N	0.205024
AP13K_AP13N	0.497653
AP13K_AP13N	0.220114
AP13K_AP13N	0.210648
AP13K_AP13N	0.538593
AP13K_AP13N	0.530957
AP13K_AP13N	0.0431925
AP13K_AP13N	0.171399
AP13K_AP13N	0.111645
AP13K_AP13N	0.190639
AP13K_AP13N	0.216538
AP13K_AP13N	1.23944
AP13K_AP13N	0.489627
AP13K_AP13N	0.425287
AP13K_AP13N	0.466667
AP13K_AP13N	0.871859
AP13K_AP13N	0.0771028
AP13K_AP13N	0.274194
AP13K_AP13N	0.126305
AP13K_AP13N	0.307009
AP13K_AP13N	0.192798
AP13K_AP13N	0.342929
AP13K_AP13N	0.819249
AP13K_AP13N	0.497525
AP13K_AP13N	0.210375
AP13K_AP13N	0.545139
AP13K_AP13N	0.258555
AP13K_AP13N	0.205433
AP13K_AP13N	0.145675
AP13K_AP13N	0.0423216
AP13K_AP13N	0.0770732
AP13K_AP13N	0.0715474
AP13K_AP13N	0.362379
AP13K_AP13N	0.535404
AP13K_AP13N	0.000672495
AP13K_AP13N	0.0366647
AP13K_AP13N	0.273537
AP13K_AP13N	0.18507
AP13K_AP13N	0.222054
AP13K_AP13N	0.270809
AP13K_AP13N	0.0957711
AP13K_AP13N	0.222672
AP13K_AP13N	0.452809
AP13K_AP13N	0.13745
AP13K_AP13N	0.0660522
AP13K_AP13N	0.0961652
AP13K_AP13N	0.563433
AP13K_AP13N	0.192814
AP13K_AP13N	0.11226
AP13K_AP13N	0.364266
AP13K_AP13N	0.197929
AP13K_AP13N	0.412371
AP13K_AP13N	0.274778
AP13K_AP13N	0.104585
AP13K_AP13N	0.0351328
AP13K_AP13N	0.0558583
AP13K_AP13N	0.0744368
AP13K_AP13N	0.15097
AP13K_AP13N	0.0508065
AP13K_AP13N	0.638819
AP13K_AP13N	0.239961
AP13K_AP13N	0.329036
AP13K_AP13N	0.138291
AP13K_AP13N	0.0998081
AP13K_AP13N	0.164228
AP13K_AP13N	0.129799
AP13K_AP13N	0.559715
AP13K_AP13N	0.184293
AP13K_AP13N	0.29065
AP13K_AP13N	0.0325289
AP13K_AP13N	0.0633694
AP13K_AP13N	0.16147
AP13K_AP13N	0.0752864
AP13K_AP13N	0.144385
AP13K_AP13N	0.711055
AP13K_AP13N	0.257069
AP13K_AP13N	0.0746339
AP13K_AP13N	0.2189
AP13K_AP13N	0.154593
AP13K_AP13N	0.144531
AP13K_AP13N	0.440644
AP13K_AP13N	0.331175
AP13K_AP13N	0.0637488
AP13K_AP13N	0.309228
AP13K_AP13N	0.286164
AP13K_AP13N	0.132784
AP13K_AP13N	0.488208
AP13K_AP13N	0.0797373
AP13K_AP13N	0.24612
AP13K_AP13N	0.186777
AP13K_AP13N	0.317341
AP13K_AP13N	0.122112
AP13K_AP13N	0.203
AP13K_AP13N	0.336943
AP13K_AP13N	0.0666667
AP13K_AP13N	0.0964029
AP13K_AP13N	0.0662914
AP13K_AP13N	0.315789
AP13K_AP13N	0.178862
AP13K_AP13N	0.205706
AP13K_AP13N	0.214427
AP13K_AP13N	0.0963328
AP13K_AP13N	0.130163
AP13K_AP13N	0.198452
AP13K_AP13N	0.37697
AP13K_AP13N	0.260652
AP13K_AP13N	0.476074
AP13K_AP13N	0.146682
AP13K_AP13N	0.132822
AP13K_AP13N	0.100653
AP13K_AP13N	0.261938
AP13K_AP13N	0.28744
AP13K_AP13N	0.061268
AP13K_AP13N	0.335593
AP13K_AP13N	0.495798
AP13K_AP13N	0.144841
AP13K_AP13N	0.148459
AP13K_AP13N	0.567299
